Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,CPU time (s),Objective value,Best-bound,Gap
10,Center,1,0.5,2,2,2,14.3,131,131,0.0%
10,Center,2,0.5,2,2,2,26.7,160,160,0.0%
10,Center,3,0.5,2,2,2,13.3,134,134,0.0%
10,Center,4,0.5,2,2,2,13.3,150,150,0.0%
10,Center,5,0.5,2,2,2,9.7,124,124,0.0%
10,Center,1,1.0,2,2,2,12.6,173,173,0.0%
10,Center,2,1.0,2,2,2,9.7,214,214,0.0%
10,Center,3,1.0,2,2,2,43.2,193,193,0.0%
10,Center,4,1.0,2,2,2,5.5,234,234,0.0%
10,Center,5,1.0,2,2,2,1.5,175,175,0.0%
10,Center,1,1.5,2,2,2,1.1,246,246,0.0%
10,Center,2,1.5,2,2,2,0.7,199,199,0.0%
10,Center,3,1.5,2,2,2,0.5,248,248,0.0%
10,Center,4,1.5,2,2,2,9.9,350,350,0.0%
10,Center,5,1.5,2,2,2,0.7,271,271,0.0%
10,Border,1,0.5,2,2,2,15.9,149,149,0.0%
10,Border,2,0.5,2,2,2,21.9,178,178,0.0%
10,Border,3,0.5,2,2,2,37.7,161,161,0.0%
10,Border,4,0.5,2,2,2,17.4,164,164,0.0%
10,Border,5,0.5,2,2,2,12.3,144,144,0.0%
10,Border,1,1.0,2,2,2,21.8,195,195,0.0%
10,Border,2,1.0,2,2,2,4.6,219,219,0.0%
10,Border,3,1.0,2,2,2,25.8,215,215,0.0%
10,Border,4,1.0,2,2,2,11.4,253,253,0.0%
10,Border,5,1.0,2,2,2,9.6,176,176,0.0%
10,Border,1,1.5,2,2,2,1.3,274,274,0.0%
10,Border,2,1.5,2,2,2,0.5,227,227,0.0%
10,Border,3,1.5,2,2,2,1.2,278,278,0.0%
10,Border,4,1.5,2,2,2,20.9,362,362,0.0%
10,Border,5,1.5,2,2,2,0.5,299,299,0.0%
10,Outside,1,0.5,2,2,2,14.3,192,192,0.0%
10,Outside,2,0.5,2,2,2,47.4,212,212,0.0%
10,Outside,3,0.5,2,2,2,68.1,196,196,0.0%
10,Outside,4,0.5,2,2,2,15.0,199,199,0.0%
10,Outside,5,0.5,2,2,2,20.0,181,181,0.0%
10,Outside,1,1.0,2,2,2,35.5,228,228,0.0%
10,Outside,2,1.0,2,2,2,3.2,249,249,0.0%
10,Outside,3,1.0,2,2,2,152.4,249,249,0.0%
10,Outside,4,1.0,2,2,2,27.9,290,290,0.0%
10,Outside,5,1.0,2,2,2,13.6,207,207,0.0%
10,Outside,1,1.5,2,2,2,1.3,303,303,0.0%
10,Outside,2,1.5,2,2,2,1.4,257,257,0.0%
10,Outside,3,1.5,2,2,2,1.0,308,308,0.0%
10,Outside,4,1.5,2,2,2,16.1,391,391,0.0%
10,Outside,5,1.5,2,2,2,0.6,328,328,0.0%
15,Center,1,0.5,2,2,2,3600.2,198,168,15.2%
15,Center,2,0.5,2,2,2,3600.2,163,147,9.9%
15,Center,3,0.5,2,2,2,3600.2,183,157,14.3%
15,Center,4,0.5,2,2,2,3600.2,170,142,16.2%
15,Center,5,0.5,2,2,2,3600.5,161,130,19.4%
15,Center,1,1.0,2,2,2,3600.2,256,242,5.5%
15,Center,2,1.0,2,2,2,3606.1,235,223,5.3%
15,Center,3,1.0,2,2,2,3600.3,256,228,10.9%
15,Center,4,1.0,2,2,2,127.6,209,209,0.0%
15,Center,5,1.0,2,2,2,318.0,181,181,0.0%
15,Center,1,1.5,2,2,2,3.2,323,323,0.0%
15,Center,2,1.5,2,2,2,3600.4,288,285,1.0%
15,Center,3,1.5,2,2,2,3600.2,308,303,1.6%
15,Center,4,1.5,2,2,2,13.9,295,295,0.0%
15,Center,5,1.5,2,2,2,15.6,269,269,0.0%
15,Border,1,0.5,2,2,2,3602.7,215,180,16.3%
15,Border,2,0.5,2,2,2,3600.2,185,149,19.5%
15,Border,3,0.5,2,2,2,3600.2,193,156,19.1%
15,Border,4,0.5,2,2,2,3600.2,188,161,14.4%
15,Border,5,0.5,2,2,2,3600.2,168,133,20.6%
15,Border,1,1.0,2,2,2,3600.2,255,232,9.0%
15,Border,2,1.0,2,2,2,3600.2,257,247,3.9%
15,Border,3,1.0,2,2,2,3600.7,271,250,7.7%
15,Border,4,1.0,2,2,2,64.0,238,238,0.0%
15,Border,5,1.0,2,2,2,3606.4,202,184,8.9%
15,Border,1,1.5,2,2,2,10.0,352,352,0.0%
15,Border,2,1.5,2,2,2,73.1,311,311,0.0%
15,Border,3,1.5,2,2,2,21.7,328,328,0.0%
15,Border,4,1.5,2,2,2,13.4,323,323,0.0%
15,Border,5,1.5,2,2,2,87.5,266,266,0.0%
15,Outside,1,0.5,2,2,2,3600.3,250,210,16.0%
15,Outside,2,0.5,2,2,2,3600.2,217,184,15.2%
15,Outside,3,0.5,2,2,2,3600.2,225,187,16.9%
15,Outside,4,0.5,2,2,2,3600.2,220,196,11.1%
15,Outside,5,0.5,2,2,2,3600.2,208,166,20.4%
15,Outside,1,1.0,2,2,2,3600.2,289,262,9.3%
15,Outside,2,1.0,2,2,2,3600.9,287,277,3.5%
15,Outside,3,1.0,2,2,2,3600.6,302,280,7.3%
15,Outside,4,1.0,2,2,2,32.1,268,268,0.0%
15,Outside,5,1.0,2,2,2,3600.2,235,207,12.0%
15,Outside,1,1.5,2,2,2,11.9,382,382,0.0%
15,Outside,2,1.5,2,2,2,188.1,341,341,0.0%
15,Outside,3,1.5,2,2,2,1880.3,360,360,0.0%
15,Outside,4,1.5,2,2,2,50.0,353,353,0.0%
15,Outside,5,1.5,2,2,2,3613.7,306,296,3.3%
20,Center,1,0.5,2,2,2,3600.3,193,140,27.5%
20,Center,2,0.5,2,2,2,3601.1,202,143,29.2%
20,Center,3,0.5,2,2,2,3605.7,222,162,27.0%
20,Center,4,0.5,2,2,2,3606.4,224,141,36.9%
20,Center,5,0.5,2,2,2,3602.6,188,149,20.7%
20,Center,1,1.0,2,2,2,3608.5,288,218,24.3%
20,Center,2,1.0,2,2,2,3602.1,272,260,4.4%
20,Center,3,1.0,2,2,2,3600.6,319,263,17.6%
20,Center,4,1.0,2,2,2,3601.6,280,230,17.9%
20,Center,5,1.0,2,2,2,3611.8,275,228,17.1%
20,Center,1,1.5,2,2,2,3600.5,337,319,5.3%
20,Center,2,1.5,2,2,2,3608.5,336,287,14.6%
20,Center,3,1.5,2,2,2,3608.2,360,343,4.7%
20,Center,4,1.5,2,2,2,3600.8,397,355,10.6%
20,Center,5,1.5,2,2,2,3601.8,332,321,3.3%
20,Border,1,0.5,2,2,2,3611.5,232,167,28.0%
20,Border,2,0.5,2,2,2,3601.2,208,172,17.3%
20,Border,3,0.5,2,2,2,3602.5,220,171,22.3%
20,Border,4,0.5,2,2,2,3605.1,250,170,32.0%
20,Border,5,0.5,2,2,2,3608.9,210,145,31.0%
20,Border,1,1.0,2,2,2,3600.8,294,248,15.6%
20,Border,2,1.0,2,2,2,3610.4,324,289,10.8%
20,Border,3,1.0,2,2,2,3600.3,329,290,11.9%
20,Border,4,1.0,2,2,2,3608.5,314,257,18.2%
20,Border,5,1.0,2,2,2,3602.4,283,257,9.2%
20,Border,1,1.5,2,2,2,3607.0,381,349,8.4%
20,Border,2,1.5,2,2,2,3602.5,328,307,6.4%
20,Border,3,1.5,2,2,2,3602.7,380,371,2.4%
20,Border,4,1.5,2,2,2,3601.0,394,385,2.3%
20,Border,5,1.5,2,2,2,3602.0,346,330,4.6%
20,Outside,1,0.5,2,2,2,3610.4,260,196,24.6%
20,Outside,2,0.5,2,2,2,3601.1,240,201,16.2%
20,Outside,3,0.5,2,2,2,3602.2,266,200,24.8%
20,Outside,4,0.5,2,2,2,3601.6,262,199,24.0%
20,Outside,5,0.5,2,2,2,3600.6,247,175,29.1%
20,Outside,1,1.0,2,2,2,3602.8,343,278,19.0%
20,Outside,2,1.0,2,2,2,3600.4,349,318,8.9%
20,Outside,3,1.0,2,2,2,3601.5,367,320,12.8%
20,Outside,4,1.0,2,2,2,3609.5,324,286,11.7%
20,Outside,5,1.0,2,2,2,3601.3,301,287,4.7%
20,Outside,1,1.5,2,2,2,3603.1,399,379,5.0%
20,Outside,2,1.5,2,2,2,3603.0,381,335,12.1%
20,Outside,3,1.5,2,2,2,3602.1,417,401,3.8%
20,Outside,4,1.5,2,2,2,3602.6,424,415,2.1%
20,Outside,5,1.5,2,2,2,3600.4,381,360,5.5%