Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value,Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
15,Center,1,0.5,2,2,2,26.6,196,-1.0%,18.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,2,0.5,2,2,2,149.8,165,1.2%,5.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,3,0.5,2,2,2,443.1,183,0.0%,13.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,4,0.5,2,2,2,457.6,166,-2.4%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,5,0.5,2,2,2,502.3,160,-0.6%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,1,1.0,2,2,2,93.5,256,0.0%,10.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,2,1.0,2,2,2,134.6,235,0.0%,28.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,3,1.0,2,2,2,106.6,256,0.0%,9.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,4,1.0,2,2,2,3551.7,209,0.0%,20.1%,1.9%,1.9%,1.9%,1.9%,1.9%
15,Center,5,1.0,2,2,2,532.4,182,0.5%,27.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,1,1.5,2,2,2,29.2,324,0.3%,13.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,2,1.5,2,2,2,173.4,288,0.0%,21.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,3,1.5,2,2,2,7.8,308,0.0%,7.8%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,4,1.5,2,2,2,27.1,295,0.0%,3.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Center,5,1.5,2,2,2,88.2,269,0.0%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,0.5,2,2,2,48.0,206,-4.4%,14.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,0.5,2,2,2,113.1,178,-3.9%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,0.5,2,2,2,3102.1,182,-6.0%,21.4%,1.1%,1.1%,1.1%,1.1%,1.1%
15,Border,4,0.5,2,2,2,57.9,182,-3.3%,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,0.5,2,2,2,143.8,168,0.0%,20.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,1.0,2,2,2,9.5,255,0.0%,5.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.0,2,2,2,27.3,257,0.0%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.0,2,2,2,2282.3,268,-1.1%,15.7%,0.4%,0.4%,0.4%,0.0%,0.0%
15,Border,4,1.0,2,2,2,14.4,238,0.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.0,2,2,2,119.2,190,-6.3%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,1.5,2,2,2,0.4,352,0.0%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.5,2,2,2,10.6,311,0.0%,19.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.5,2,2,2,18.6,328,0.0%,21.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,4,1.5,2,2,2,5.0,323,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.5,2,2,2,51.5,266,0.0%,25.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,0.5,2,2,2,390.6,241,-3.7%,12.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,0.5,2,2,2,446.7,215,-0.9%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,0.5,2,2,2,565.8,222,-1.4%,16.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,0.5,2,2,2,1061.5,215,-2.3%,8.8%,0.5%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,0.5,2,2,2,77.9,207,-0.5%,15.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,1.0,2,2,2,59.0,289,0.0%,5.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.0,2,2,2,1108.5,287,0.0%,18.5%,3.1%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,1.0,2,2,2,137.5,302,0.0%,12.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.0,2,2,2,732.2,268,0.0%,15.7%,1.9%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.0,2,2,2,409.7,223,-5.4%,22.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,1.5,2,2,2,6.5,382,0.0%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.5,2,2,2,125.6,341,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,1.5,2,2,2,20.5,360,0.0%,18.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.5,2,2,2,46.5,353,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.5,2,2,2,79.7,306,0.0%,19.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,1,0.5,2,2,2,293.7,187,-3.2%,8.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,2,0.5,2,2,2,520.3,200,-1.0%,23.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,3,0.5,2,2,2,3487.6,198,-12.1%,16.2%,3.5%,3.5%,2.5%,2.5%,2.5%
20,Center,4,0.5,2,2,2,216.0,203,-10.3%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,5,0.5,2,2,2,3074.6,191,1.6%,12.0%,0.5%,0.5%,0.5%,0.5%,0.5%
20,Center,1,1.0,2,2,2,2568.6,260,-10.8%,14.6%,1.2%,0.8%,0.8%,0.8%,0.0%
20,Center,2,1.0,2,2,2,22.7,275,1.1%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,3,1.0,2,2,2,1921.3,304,-4.9%,13.5%,2.6%,1.6%,1.3%,0.0%,0.0%
20,Center,4,1.0,2,2,2,434.4,265,-5.7%,13.2%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,5,1.0,2,2,2,1326.8,251,-9.6%,26.7%,2.4%,0.8%,0.0%,0.0%,0.0%
20,Center,1,1.5,2,2,2,257.3,337,0.0%,7.4%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,2,1.5,2,2,2,1986.8,309,-8.7%,26.5%,1.9%,1.0%,0.3%,0.0%,0.0%
20,Center,3,1.5,2,2,2,254.9,357,-0.8%,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,4,1.5,2,2,2,3215.1,361,-10.0%,28.0%,3.6%,2.5%,2.5%,2.5%,0.6%
20,Center,5,1.5,2,2,2,2325.2,322,-3.1%,16.5%,1.6%,1.6%,1.6%,0.0%,0.0%
20,Border,1,0.5,2,2,2,1512.7,201,-15.4%,19.4%,3.0%,3.0%,0.0%,0.0%,0.0%
20,Border,2,0.5,2,2,2,1454.4,200,-4.0%,10.5%,2.5%,2.5%,0.0%,0.0%,0.0%
20,Border,3,0.5,2,2,2,599.3,224,1.8%,9.8%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,4,0.5,2,2,2,873.4,211,-18.5%,16.6%,1.4%,0.0%,0.0%,0.0%,0.0%
20,Border,5,0.5,2,2,2,2489.5,194,-8.2%,14.4%,4.6%,3.6%,2.1%,0.5%,0.0%
20,Border,1,1.0,2,2,2,979.2,279,-5.4%,5.0%,2.2%,0.0%,0.0%,0.0%,0.0%
20,Border,2,1.0,2,2,2,645.3,293,-10.6%,16.0%,2.4%,0.0%,0.0%,0.0%,0.0%
20,Border,3,1.0,2,2,2,1947.2,320,-2.8%,27.5%,2.2%,2.2%,1.6%,0.0%,0.0%
20,Border,4,1.0,2,2,2,574.4,274,-14.6%,23.4%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,5,1.0,2,2,2,1182.5,264,-7.2%,9.5%,1.9%,0.0%,0.0%,0.0%,0.0%
20,Border,1,1.5,2,2,2,105.4,365,-4.4%,16.4%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,2,1.5,2,2,2,3291.0,327,-0.3%,15.0%,0.3%,0.3%,0.3%,0.3%,0.3%
20,Border,3,1.5,2,2,2,243.4,375,-1.3%,21.1%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Border,4,1.5,2,2,2,713.8,391,-0.8%,19.7%,1.8%,0.0%,0.0%,0.0%,0.0%
20,Border,5,1.5,2,2,2,442.8,335,-3.3%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,1,0.5,2,2,2,1222.9,246,-5.7%,22.4%,2.0%,0.4%,0.0%,0.0%,0.0%
20,Outside,2,0.5,2,2,2,375.4,236,-1.7%,13.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,3,0.5,2,2,2,314.5,262,-1.5%,9.2%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,4,0.5,2,2,2,2376.3,255,-2.7%,4.3%,1.6%,0.8%,0.8%,0.0%,0.0%
20,Outside,5,0.5,2,2,2,2297.4,230,-7.4%,15.7%,4.8%,3.9%,3.9%,0.0%,0.0%
20,Outside,1,1.0,2,2,2,2191.9,317,-8.2%,1.6%,1.3%,0.9%,0.9%,0.0%,0.0%
20,Outside,2,1.0,2,2,2,3401.7,325,-7.4%,13.8%,1.2%,1.2%,1.2%,1.2%,1.2%
20,Outside,3,1.0,2,2,2,3568.0,360,-1.9%,21.9%,0.8%,0.8%,0.8%,0.8%,0.8%
20,Outside,4,1.0,2,2,2,2213.4,306,-5.9%,19.9%,1.0%,1.0%,0.3%,0.0%,0.0%
20,Outside,5,1.0,2,2,2,43.8,302,0.3%,5.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Outside,1,1.5,2,2,2,3585.2,388,-2.8%,17.8%,2.8%,2.8%,2.8%,1.0%,1.0%
20,Outside,2,1.5,2,2,2,3227.8,356,-7.0%,11.8%,3.9%,3.9%,2.8%,2.8%,0.8%
20,Outside,3,1.5,2,2,2,1241.1,417,0.0%,17.7%,0.2%,0.2%,0.0%,0.0%,0.0%
20,Outside,4,1.5,2,2,2,1155.5,420,-1.0%,18.8%,0.2%,0.0%,0.0%,0.0%,0.0%
20,Outside,5,1.5,2,2,2,83.1,369,-3.3%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%